ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
47.68,9.35,-20.35,16.67,-15.18,-70.42,Seek needle
45.46,8.55,-23.83,15.4,-14.42,-67.8,Seek needle
47.91,8.74,-21.39,16.74,-15.45,-72.32,Seek needle
46.27,8.21,-23.98,16.38,-15.52,-71.89,Seek needle
47.11,8.95,-22.97,16.21,-15.5,-71.72,Seek needle
47.03,8.54,-23.53,16.88,-16.89,-75.26,Seek needle
48.77,9.3,-21.13,15.85,-15.46,-71.74,Seek needle
51.1,10.59,-17.28,14.93,-14.64,-67.98,Seek needle
51.78,10.59,-16.1,15.21,-14.88,-68.36,Seek needle
50.81,10.35,-17.05,17.22,-16.08,-72.3,Seek needle
50.06,8.76,-18.76,15.02,-15.0,-66.0,Seek needle
48.0,8.38,-21.39,14.91,-15.25,-64.89,Seek needle
48.36,10.1,-19.73,15.72,-16.01,-66.89,Seek needle
47.63,10.38,-20.19,15.24,-17.16,-68.14,Seek needle
48.17,10.39,-19.53,15.75,-16.87,-69.28,Seek needle
47.4,9.48,-21.26,16.47,-17.55,-72.06,Seek needle
48.11,9.64,-20.53,16.75,-17.85,-73.73,Seek needle
48.08,8.86,-21.28,17.24,-17.66,-74.89,Seek needle
50.18,9.4,-18.19,15.55,-16.16,-72.02,Seek needle
50.35,11.19,-16.44,16.35,-16.67,-74.96,Seek needle
50.53,10.27,-16.55,16.57,-16.46,-75.44,Seek needle
49.61,10.39,-16.97,15.27,-14.94,-72.11,Seek needle
49.49,10.34,-16.69,17.95,-16.28,-78.07,Seek needle
49.39,9.53,-17.55,15.3,-13.37,-68.55,Seek needle
49.36,10.05,-17.41,15.65,-12.85,-68.51,Seek needle
49.24,11.33,-16.57,16.44,-12.47,-68.37,Seek needle
52.95,14.51,-9.24,17.51,-12.48,-67.43,Seek needle
51.33,14.41,-10.17,18.71,-13.56,-67.21,Seek needle
50.17,13.43,-11.53,18.9,-13.06,-63.24,Seek needle
51.29,13.29,-10.1,20.59,-14.03,-64.25,Seek needle
49.88,14.29,-11.07,21.84,-13.31,-61.96,Seek needle
50.61,14.93,-9.82,22.13,-12.26,-59.8,Seek needle
50.39,13.83,-10.88,22.85,-11.8,-59.57,Seek needle
47.48,13.34,-14.91,23.23,-12.23,-61.05,Seek needle
48.25,13.31,-14.24,21.62,-10.52,-56.82,Seek needle
48.01,13.32,-14.56,24.05,-10.41,-62.98,Seek needle
