ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
45.05,6.14,-35.86,30.31,19.33,-15.83,Set needle
44.23,7.2,-35.05,31.53,20.24,-15.79,Set needle
43.24,8.02,-35.08,33.61,15.66,-28.07,Set needle
43.19,8.16,-34.99,31.29,16.91,-23.35,Set needle
43.18,8.45,-34.7,32.39,20.37,-19.24,Set needle
42.21,8.22,-35.56,33.73,21.35,-17.99,Set needle
43.4,9.75,-32.98,32.79,18.48,-21.74,Set needle
42.14,12.27,-31.9,33.51,18.96,-22.49,Set needle
41.93,14.54,-29.61,31.94,21.35,-14.94,Set needle
43.33,18.4,-24.01,32.8,20.14,-18.67,Set needle
43.27,18.04,-24.13,32.05,16.75,-22.81,Set needle
43.4,22.04,-20.57,32.21,18.52,-20.99,Set needle
42.85,22.74,-20.55,32.73,18.17,-22.08,Set needle
42.14,22.4,-21.23,32.85,18.44,-21.93,Set needle
43.07,26.73,-15.96,32.62,19.18,-20.34,Set needle
38.75,23.36,-22.61,33.57,18.9,-23.61,Set needle
39.06,23.13,-21.95,32.12,20.2,-18.88,Set needle
39.37,22.95,-21.31,33.98,20.33,-22.28,Set needle
36.0,23.05,-23.81,33.67,21.09,-19.52,Set needle
37.95,25.09,-18.9,33.14,21.42,-17.77,Set needle
36.27,24.72,-19.68,34.47,15.77,-28.6,Set needle
39.25,28.31,-12.32,33.6,18.37,-22.72,Set needle
38.04,26.95,-14.38,32.47,21.9,-15.37,Set needle
38.47,27.48,-12.95,30.83,21.49,-12.77,Set needle
39.79,29.91,-8.74,32.28,20.78,-15.76,Set needle
39.39,31.27,-8.05,33.35,20.54,-18.21,Set needle
39.03,31.57,-9.0,32.74,20.52,-16.97,Set needle
31.9,-44.04,-109.56,31.52,21.01,-13.43,Set needle
40.05,33.86,-7.18,32.36,20.32,-16.07,Set needle
40.65,34.93,-6.02,31.91,19.25,-16.81,Set needle
40.97,37.79,-4.5,32.34,20.72,-14.08,Set needle
40.62,38.2,-6.08,32.38,20.29,-14.89,Set needle
42.4,37.58,-6.2,33.25,18.66,-20.16,Set needle
41.71,36.62,-7.66,31.69,19.73,-15.07,Set needle
43.98,36.16,-5.78,32.68,18.85,-18.33,Set needle
